0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
post_title_en,post_title_es,post_title_pt,url,category,organization_en,organization_es,organization_pt,country,geocode_latitude,geocode_latitude,geocode_address,city_en,city_es,city_pt,interface_languages,resource_languages,site_license,resource_license,organizations_en,organizations_es,organizations_pt,collections,contact,site_acessibility,resource_types,academic_level,subject_area,funders_en,funders_es,funders_pt,time_markers,output_interfaces,input_by_users
educ.ar,educ.ar,educ.ar,http://www.educ.ar/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Argentina,-34.618393,-58.402287,Saavedra 789,Buenos Aires,Buenos Aires,Buenos Aires,Spanish,Spanish,Copyright,None,,,,,http://www.educ.ar/sitios/educar/institucional/o,,"Animation, Audio, Digital Class, Image, Simulation, Texto, Video","ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary), ISCED 5 (5 - Short-cycle tertiary), ISCED 6 (6 - Bachelor or equivalent)","Mathematics, Art, Natural Science, Social Science, Physical Education, Sex Education, Ethics and Citizenship, Language
Foreign Languages, Technology, Environmental Sciences, Economy and Administration, Philosophy, Informatics, Literature, Psychology
",Government of Argentina,Gobierno de Argentina,Governo da Argentina,,,"Contact, Join, Contribute"
Biblioteca Nacional de Maestros,Biblioteca Nacional de Maestros,Biblioteca Nacional de Maestros,http://www.bnm.me.gov.ar/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Argentina,-34.597835,-58.391223,Pizzurno 935,Buenos Aires,Buenos Aires,Buenos Aires,Spanish,Spanish,Copyright,"Public Domain, None",,,,,bnmsitio@me.gov.ar,,"Text, Image",,,Government of Argentina,Gobierno de Argentina,Governo da Argentina,,,Contact
Primaria Digital,Primaria Digital,Primaria Digital,http://primariadigital.educ.ar/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Argentina,-34.597835,-58.391223,Pizzurno 935,Buenos Aires,Buenos Aires,Buenos Aires,Spanish,Spanish,None,"CC-BY-NC-SA,
None, Other",,,,,primariadigital@me.gov.ar,,"Digital Class, Image, Text, Video",ISCED 1 (1 – Primary),,Government of Argentina,Gobierno de Argentina,Governo da Argentina,,,
Pakapaka,Pakapaka,Pakapaka,http://www.pakapaka.gob.ar/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Argentina,-34.538087,-58.459994,Avenida Comodoro Martín Rivadavia 1151,Buenos Aires,Buenos Aires,Buenos Aires,Spanish,Spanish,Copyright,Copyright,,,,,http://www.pakapaka.gob.ar/sitios/pakapaka/o/index,,"Audio, Game, Text, Video","ISCED 0 (0 - Early childhood education), ISCED 1 (1 - Primary)
",,Government of Argentina,Gobierno de Argentina,Governo da Argentina,,,Contact
Portal Ministerio de Educación,Portal Ministerio de Educación,Portal Ministerio de Educación,http://portal.educacion.gov.ar/,"Agregador, Repositório",Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Argentina,-34.597835,-58.391223,Pizzurno 935,Buenos Aires,Buenos Aires,Buenos Aires,Spanish,Spanish,Copyright,,,,,,http://portal.educacion.gov.ar/?page_id=730,,Text," ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary)


",,Government of Argentina,Gobierno de Argentina,Governo da Argentina,2009,,Contact
Gleducar,Gleducar,Gleducar,http://wiki.gleducar.org.ar/index.php/P%C3%A1gina_Principal,"Dinâmico, Repositório",Asociación Civil Gleducar,Asociación Civil Gleducar,Asociación Civil Gleducar,Argentina,-32.046743,-61.602367,Mariano Moreno 166,Cañada Rosquín,Cañada Rosquín,Cañada Rosquín,Spanish,Spanish,Copyright,Copyleft,,,,,o@gleducar.org.ar,,Text,,"Natural Science, Social Science, Economy and Administration, Physical Education, Ethics and Citizenship, Informatics, Language and Literature, Artistic Languages, Foreign Languages, Mathematics, Laboratory and Experiments",,,,2002-2010,,"Join, Community, Contribute "
educarchile,educarchile,educarchile,http://www.educarchile.cl/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Chile,-33.371519,-70.580562,"Parque Antonio Rabat 6165, Vitacura",Santiago,Santiago,Santiago,Spanish,Spanish,Copyright,None,Fundación Chile,Fundación Chile,Fundación Chile,,http://ww2.educarchile.cl/anos,,"Audio, Image, Game, Simulation, Text, Video","ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary)","Natural Science, History, Geography and Social Science, Language and Communication, Mathematics, English, Technology, Art Education, Visual Arts, Music, Physical Education and Health, Religion",Government of Chile,Gobierno de Chile,Governo do Chile,2013,,"Contact, Join, Comment"
Biblioteca Nacional Digital de Chile,Biblioteca Nacional Digital de Chile,Biblioteca Nacional Digital de Chile,http://www.bibliotecanacionaldigital.cl/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Chile,-33.441809,-70.645756,Libertador Bernardo O'Higgins 651,Santiago,Santiago,Santiago,Spanish,"Spanish, French, English, Other",None,"CC-BY-SA,
None, Other",,,,,http://www.bibliotecanacionaldigital.cl/o.html,,"Audio, Image, Text, Video",,,Government of Chile,Gobierno de Chile,Governo do Chile,,RDF,"Join, Contact, Comment"
Chile para Niños,Chile para Niños,Chile para Niños,http://www.chileparaninos.cl/indice_temas.asp,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Chile,-33.441809,-70.645756,Libertador Bernardo O'Higgins 651,Santiago,Santiago,Santiago,Spanish,Spanish,Copyright,,,,,,memoriosa@bibliotecanacional.cl,,"Audio, Digital Class, Game, Text, Video",,,Government of Chile,Gobierno de Chile,Governo do Chile,,,Contact
